z_level_mm,grid_name,x_cmd_mm,y_cmd_mm,z_cmd_mm,floor_height_cmd_mm,is_reference_pose,reachable_ik,target_safe,path_safe,move_attempted,move_ok,reason,robot_x_mm,robot_y_mm,robot_z_mm,robot_phi_deg,overhead_visible,overhead_used_for_homography,overhead_u_raw_px,overhead_v_raw_px,overhead_u_used_px,overhead_v_used_px,overhead_theta_deg,overhead_samples,stereo_visible,stereo_x_mm,stereo_y_mm,stereo_z_mm,stereo_left_u_px,stereo_left_v_px,stereo_right_u_px,stereo_right_v_px,stereo_disparity_px,stereo_theta_deg,stereo_samples
0.0,z0_x200_y510,200.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,200.01436530258582,510.0247297682927,0.0,-0.08907682175008347,False,False,,,,,,0,True,-38.961407890072785,99.78189578766636,-419.86172064248683,274.18899301382214,368.51499821589545,207.1857423048753,366.5429957463191,67.00325070894681,57.55500270254894,26
0.0,z0_x220_y510,220.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,220.01429370979199,510.01148586440246,0.0,0.07719067125007939,False,False,,,,,,0,True,-58.47095765280241,100.4224291748021,-419.82840075858957,251.58011099008414,368.8521787203275,185.95736753023587,366.1661682128906,65.62274345984825,61.73697194867756,26
0.0,z0_x240_y510,240.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,240.0021350648743,510.02061654331675,0.0,0.018435662000015896,False,False,,,,,,0,True,-78.60190425911107,101.38076975500485,-421.86099778047105,229.0071827815129,368.63355665940503,165.36996459960938,365.59849313589245,63.63721818190355,64.02457613602195,26
0.0,z0_x260_y510,260.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,260.0076169113011,509.99813080524507,0.0,-0.04031934725003339,False,False,,,,,,0,True,-98.13255115543669,102.00919606169516,-421.3733423190731,207.08939713698166,368.4914116492638,145.30130943885217,365.21037527231067,61.78808769812951,67.69324029585535,26
0.0,z0_x280_y510,280.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,279.9783129818718,509.97564898012956,0.0,-0.09207434950009485,False,False,,,,,,0,True,-117.84982865037176,102.9325784719034,-422.30596823683396,185.86641282301682,368.2967857947716,126.2935647230882,364.5041949932392,59.572848099928635,70.54614789988207,26
0.0,z0_x300_y510,300.0,510.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,300.02372703218305,509.9916958010683,0.0,0.07419314350008221,False,False,,,,,,0,True,-137.47573007080902,103.67583380893166,-422.8460371738383,165.24986619215744,367.8564887413612,107.97898219181941,363.5902850811298,57.27088400033804,73.4438200767316,26
0.0,z0_x320_y510,320.0,510.0,0.0,120.0,False,True,True,True,True,True,valid overhead,319.98996960812207,509.9903674142409,0.0,0.02943814825003699,True,True,595.1835876464844,376.69408264160154,595.0603881835938,376.66457214355466,162.66172270019734,10,True,-155.1109050864932,104.44886453293212,-421.65851348316426,146.6995197642933,367.884746204723,91.45797243985263,363.10422307794744,55.241547324440695,76.43594274567579,11
0.0,z0_x340_y510,340.0,510.0,0.0,120.0,False,True,True,True,True,True,valid overhead,339.97722375629155,510.00693992174035,0.0,-0.015316847000008238,True,True,594.7578918457032,354.0942749023437,594.6131896972656,354.03070678710935,165.17738549532322,10,False,,,,,,,,,,1
0.0,z0_x360_y510,360.0,510.0,0.0,120.0,False,True,True,True,True,True,valid overhead,359.9859108584077,509.98297346108916,0.0,-0.060071842250053464,True,True,594.2083923339844,329.0341339111328,594.0320495605469,328.91962890625,167.80927076697702,10,False,,,,,,,,,,0
0.0,z0_x380_y510,380.0,510.0,0.0,120.0,False,True,True,True,True,True,valid overhead,379.98571658886533,510.02325769409435,0.0,-0.10482683750009869,True,True,593.6130798339843,304.15638732910156,593.3967102050781,303.9784362792969,171.1342925246741,10,False,,,,,,,,,,0
0.0,z0_x100_y530,100.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,99.97508259609168,529.9948248216612,0.0,0.0698094757500769,False,False,,,,,,1,True,53.18406570933588,112.49935043992522,-411.4763226967981,382.7788344163161,384.6345343956581,312.78962472768933,385.6105722280649,69.9892096886268,46.21281964078625,26
0.0,z0_x120_y530,120.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,120.00598726017154,530.0099895159608,0.0,-0.08096790275010335,False,False,,,,,,0,True,40.91926000319208,114.71879187441112,-411.393466389035,368.362061720628,387.32183720515326,298.25752727801984,388.1623006967398,70.10453444260817,47.81776142451168,26
0.0,z0_x140_y530,140.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,140.01842252042223,530.0077390046055,0.0,-0.027722800000020698,False,False,,,,,,0,True,21.476974359840035,115.41109974683435,-412.12973257270176,345.3392838698167,388.4142608642578,275.40521474984973,388.18973247821515,69.93406911996695,50.85627522072161,26
0.0,z0_x160_y530,160.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,159.98681206981803,530.0048773664537,0.0,0.011522288750015264,False,False,,,,,,0,True,1.7577043770935974,116.11470093999205,-412.12287738841667,321.946296105018,389.30496920072113,252.42317962646484,388.4427020733173,69.52311647855319,53.02104348112266,26
0.0,z0_x180_y530,180.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,180.01133875394459,529.9795903025981,0.0,0.029767356500030928,False,False,,,,,,0,True,-18.071671837816623,117.0289351857946,-413.0221570540711,298.45752892127405,389.97940532977765,229.8594747690054,388.35152611365686,68.59805415226863,55.46831452128901,26
0.0,z0_x200_y530,200.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,199.99383162565016,529.9696970689171,0.0,0.04101241725003035,False,False,,,,,,0,True,-37.3084908242121,117.43507690547466,-412.11882088870465,275.6818342942458,390.4056701660156,208.02780503493088,388.0774911733774,67.65402925931491,58.81660573567004,26
0.0,z0_x220_y530,220.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,220.00983212439337,530.001113660338,0.0,0.03825746400003993,False,False,,,,,,0,True,-56.951136603850614,118.85200041998426,-413.4380573431718,252.92041426438553,390.94231942983777,186.9023953951322,388.08880497859076,66.01801886925331,61.52928653201082,26
0.0,z0_x240_y530,240.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,239.98544964780606,530.0177455123417,0.0,0.0355025107500353,False,False,,,,,,0,True,-77.11791140005506,119.99359050684801,-414.7533538725502,230.00830665001502,390.9010021503155,165.92732590895432,387.60140286959137,64.0809807410607,64.37446849961842,26
0.0,z0_x260_y530,260.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,259.99964799940096,529.9892679176355,0.0,0.025747550500028638,False,False,,,,,,0,True,-96.81802646756357,120.76345363289381,-415.1283796679228,207.9510721059946,390.7112520658053,145.8559083205003,386.68329444298377,62.09516378549429,67.73719921215594,26
0.0,z0_x280_y530,280.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,279.98419626683676,529.9957943430286,0.0,0.015992590250007765,False,False,,,,,,0,True,-116.0556248747579,121.15512909165007,-414.3372064812045,186.58223137488733,390.18224745530347,126.49804599468524,385.66867300180286,60.08418538020207,70.3040209051073,26
0.0,z0_x300_y530,300.0,530.0,0.0,120.0,False,True,True,True,True,True,move ok but overhead not visible,300.0113736584733,529.9999510985391,0.0,-0.0007623770000009245,False,False,,,,,,0,True,-135.12113491286007,121.69245097629616,-413.8622649747835,166.00200794361257,389.63100744176796,108.0993222837095,384.5188135217737,57.902685659903064,73.09424233302448,27
0.0,z0_x320_y530,320.0,530.0,0.0,120.0,False,True,True,True,True,True,valid overhead,320.0187381744011,530.031799762129,0.0,-0.017517344250023825,True,True,570.1269348144531,377.70774230957034,569.9136840820313,377.65940551757814,162.93076073450615,10,True,-151.8956471161708,122.40513601823092,-414.71008316691615,148.88226572672525,388.9029795328776,93.09284973144531,383.3376820882161,55.789415995279946,75.39201492848188,6
0.0,z0_x340_y530,340.0,530.0,0.0,120.0,False,True,True,True,True,True,valid overhead,340.0256628798646,529.9813766902364,0.0,-0.034272311500032515,True,True,570.1482482910156,355.6168609619141,569.9112121582032,355.52964477539064,167.05360872255375,10,False,,,,,,,,,,1
0.0,z0_x360_y530,360.0,530.0,0.0,120.0,False,True,True,True,True,True,valid overhead,359.98894117785136,530.0073182982073,0.0,-0.051027278750055416,True,True,569.66611328125,330.6163299560547,569.3931335449219,330.4715850830078,170.39291228649947,10,False,,,,,,,,,,0
0.0,z0_x380_y530,380.0,530.0,0.0,120.0,False,True,True,True,True,True,valid overhead,379.97182700400253,530.0070214061885,0.0,-0.07478225300006613,True,True,568.9640747070313,305.5637573242187,568.6460632324219,305.34779357910156,172.99202522248424,10,False,,,,,,,,,,0
25.0,z25_x100_y250,100.0,250.0,25.0,145.0,False,True,True,True,True,True,valid overhead,100.01286228703043,250.0256407366198,24.995091301786772,0.03198518050001553,True,True,894.8459655761719,608.812744140625,892.1377197265625,606.5487274169922,133.53640269168395,10,True,37.413638943175314,-145.78087143182222,-470.16611516246485,358.35571628146704,101.79236857096355,297.9971177842882,101.6659401787652,60.35859849717882,32.47681779384284,9
25.0,z25_x120_y250,120.0,250.0,25.0,145.0,False,True,True,True,True,True,valid overhead,119.99869380652581,249.99255541764762,24.995091301786772,-0.06759165175006387,True,True,935.8472534179688,621.8806884765625,932.9190185546875,619.5937072753907,132.20837288999965,10,True,22.271940966696363,-148.56510599854704,-470.0445037863753,342.75791015625,98.8531723022461,282.4224609375,99.14850692749023,60.33544921875,35.62212907406042,10
25.0,z25_x140_y250,140.0,250.0,25.0,145.0,False,True,True,True,True,True,valid overhead,140.01045485275154,250.00735489789037,24.995091301786772,-0.020168337000001202,True,True,936.2471313476562,594.7269836425781,933.4602355957031,592.7289367675781,136.32796203290826,10,True,2.2815731874251233,-150.16471571122193,-475.6655213280143,322.1186920166016,98.6141342163086,262.6351318359375,99.96413803100586,59.483560180664064,39.507117346650105,10
25.0,z25_x160_y250,160.0,250.0,25.0,145.0,False,True,True,True,True,True,valid overhead,159.99017217491996,249.97318924483886,24.995091301786772,-0.029767356500030928,True,True,935.6618896484375,567.1828308105469,933.0288940429688,565.4711608886719,140.2912850857444,10,True,-17.671131642491652,-149.30609456748388,-475.43030605497796,301.71913452148436,99.5352569580078,242.55608520507812,101.17064208984375,59.16304931640625,44.02662161107989,10
25.0,z25_x180_y250,180.0,250.0,25.0,145.0,False,True,True,True,True,True,valid overhead,179.97633886964377,249.97586885943224,24.995091301786772,-0.09638871025009621,True,True,934.6540344238281,540.0189086914063,932.1729736328125,538.5760375976563,143.67222058206238,10,True,-37.48071535836941,-148.28895014551298,-475.150065657454,281.5124145507813,100.57502822875976,222.88401641845704,102.89292602539062,58.62839813232422,49.45514630178671,10
